# gf_decode vectors: gf16  N=16 E=6 M=9 BIAS=31
# format: <gf_in hex, 4 digits> <fp32_expected hex, 8 digits>
0000 00000000
0001 2c000000
0010 2e000000
0020 2e800000
0030 2ec00000
0040 2f000000
0050 2f200000
0060 2f400000
0070 2f600000
0080 2f800000
0090 2f900000
00a0 2fa00000
00aa 2faa0000
00b0 2fb00000
00c0 2fc00000
00d0 2fd00000
00e0 2fe00000
00f0 2ff00000
00ff 2fff0000
0100 30000000
0110 30080000
0120 30100000
0130 30180000
0140 30200000
0150 30280000
0160 30300000
0170 30380000
0180 30400000
0190 30480000
01a0 30500000
01b0 30580000
01c0 30600000
01d0 30680000
01e0 30700000
01f0 30780000
01ff 307f8000
0200 30800000
0210 30840000
0220 30880000
0230 308c0000
0240 30900000
0250 30940000
0260 30980000
0270 309c0000
0280 30a00000
0290 30a40000
02a0 30a80000
02b0 30ac0000
02c0 30b00000
02d0 30b40000
02e0 30b80000
02f0 30bc0000
02ff 30bfc000
0300 30c00000
0310 30c40000
0320 30c80000
0330 30cc0000
0340 30d00000
0350 30d40000
0360 30d80000
0370 30dc0000
0380 30e00000
0390 30e40000
03a0 30e80000
03b0 30ec0000
03c0 30f00000
03d0 30f40000
03e0 30f80000
03f0 30fc0000
03ff 30ffc000
0400 31000000
0410 31040000
0420 31080000
0430 310c0000
0440 31100000
0450 31140000
0460 31180000
0470 311c0000
0480 31200000
0490 31240000
04a0 31280000
04b0 312c0000
04c0 31300000
04d0 31340000
04e0 31380000
04f0 313c0000
0500 31400000
0510 31440000
0520 31480000
0530 314c0000
0540 31500000
0550 31540000
0560 31580000
0570 315c0000
0580 31600000
0590 31640000
05a0 31680000
05b0 316c0000
05c0 31700000
05d0 31740000
05e0 31780000
05f0 317c0000
0600 31800000
0610 31840000
0620 31880000
0630 318c0000
0640 31900000
0650 31940000
0660 31980000
0670 319c0000
0680 31a00000
0690 31a40000
06a0 31a80000
06b0 31ac0000
06c0 31b00000
06d0 31b40000
06e0 31b80000
06f0 31bc0000
0700 31c00000
0710 31c40000
0720 31c80000
0730 31cc0000
0740 31d00000
0750 31d40000
0760 31d80000
0770 31dc0000
0780 31e00000
0790 31e40000
07a0 31e80000
07b0 31ec0000
07c0 31f00000
07d0 31f40000
07e0 31f80000
07f0 31fc0000
0800 32000000
0810 32040000
0820 32080000
0830 320c0000
0840 32100000
0850 32140000
0860 32180000
0870 321c0000
0880 32200000
0890 32240000
08a0 32280000
08b0 322c0000
08c0 32300000
08d0 32340000
08e0 32380000
08f0 323c0000
0900 32400000
0910 32440000
0920 32480000
0930 324c0000
0940 32500000
0950 32540000
0960 32580000
0970 325c0000
0980 32600000
0990 32640000
09a0 32680000
09b0 326c0000
09c0 32700000
09d0 32740000
09e0 32780000
09f0 327c0000
0a00 32800000
0a10 32840000
0a20 32880000
0a30 328c0000
0a40 32900000
0a50 32940000
0a60 32980000
0a70 329c0000
0a80 32a00000
0a90 32a40000
0aa0 32a80000
0ab0 32ac0000
0ac0 32b00000
0ad0 32b40000
0ae0 32b80000
0af0 32bc0000
0b00 32c00000
0b10 32c40000
0b20 32c80000
0b30 32cc0000
0b40 32d00000
0b50 32d40000
0b60 32d80000
0b70 32dc0000
0b80 32e00000
0b90 32e40000
0ba0 32e80000
0bb0 32ec0000
0bc0 32f00000
0bd0 32f40000
0be0 32f80000
0bf0 32fc0000
0c00 33000000
0c10 33040000
0c20 33080000
0c30 330c0000
0c40 33100000
0c50 33140000
0c60 33180000
0c70 331c0000
0c80 33200000
0c90 33240000
0ca0 33280000
0cb0 332c0000
0cc0 33300000
0cd0 33340000
0ce0 33380000
0cf0 333c0000
0d00 33400000
0d10 33440000
0d20 33480000
0d30 334c0000
0d40 33500000
0d50 33540000
0d60 33580000
0d70 335c0000
0d80 33600000
0d90 33640000
0da0 33680000
0db0 336c0000
0dc0 33700000
0dd0 33740000
0de0 33780000
0df0 337c0000
0e00 33800000
0e10 33840000
0e20 33880000
0e30 338c0000
0e40 33900000
0e50 33940000
0e60 33980000
0e70 339c0000
0e80 33a00000
0e90 33a40000
0ea0 33a80000
0eb0 33ac0000
0ec0 33b00000
0ed0 33b40000
0ee0 33b80000
0ef0 33bc0000
0f00 33c00000
0f10 33c40000
0f20 33c80000
0f30 33cc0000
0f40 33d00000
0f50 33d40000
0f60 33d80000
0f70 33dc0000
0f80 33e00000
0f90 33e40000
0fa0 33e80000
0fb0 33ec0000
0fc0 33f00000
0fd0 33f40000
0fe0 33f80000
0ff0 33fc0000
1000 34000000
1010 34040000
1020 34080000
1030 340c0000
1040 34100000
1050 34140000
1060 34180000
1070 341c0000
1080 34200000
1090 34240000
10a0 34280000
10b0 342c0000
10c0 34300000
10d0 34340000
10e0 34380000
10f0 343c0000
1100 34400000
1110 34440000
1120 34480000
1130 344c0000
1140 34500000
1150 34540000
1160 34580000
1170 345c0000
1180 34600000
1190 34640000
11a0 34680000
11b0 346c0000
11c0 34700000
11d0 34740000
11e0 34780000
11f0 347c0000
1200 34800000
1210 34840000
1220 34880000
1230 348c0000
1240 34900000
1250 34940000
1260 34980000
1270 349c0000
1280 34a00000
1290 34a40000
12a0 34a80000
12b0 34ac0000
12c0 34b00000
12d0 34b40000
12e0 34b80000
12f0 34bc0000
1300 34c00000
1310 34c40000
1320 34c80000
1330 34cc0000
1340 34d00000
1350 34d40000
1360 34d80000
1370 34dc0000
1380 34e00000
1390 34e40000
13a0 34e80000
13b0 34ec0000
13c0 34f00000
13d0 34f40000
13e0 34f80000
13f0 34fc0000
1400 35000000
1410 35040000
1420 35080000
1430 350c0000
1440 35100000
1450 35140000
1460 35180000
1470 351c0000
1480 35200000
1490 35240000
14a0 35280000
14b0 352c0000
14c0 35300000
14d0 35340000
14e0 35380000
14f0 353c0000
1500 35400000
1510 35440000
1520 35480000
1530 354c0000
1540 35500000
1550 35540000
1560 35580000
1570 355c0000
1580 35600000
1590 35640000
15a0 35680000
15b0 356c0000
15c0 35700000
15d0 35740000
15e0 35780000
15f0 357c0000
1600 35800000
1610 35840000
1620 35880000
1630 358c0000
1640 35900000
1650 35940000
1660 35980000
1670 359c0000
1680 35a00000
1690 35a40000
16a0 35a80000
16b0 35ac0000
16c0 35b00000
16d0 35b40000
16e0 35b80000
16f0 35bc0000
1700 35c00000
1710 35c40000
1720 35c80000
1730 35cc0000
1740 35d00000
1750 35d40000
1760 35d80000
1770 35dc0000
1780 35e00000
1790 35e40000
17a0 35e80000
17b0 35ec0000
17c0 35f00000
17d0 35f40000
17e0 35f80000
17f0 35fc0000
1800 36000000
1810 36040000
1820 36080000
1830 360c0000
1840 36100000
1850 36140000
1860 36180000
1870 361c0000
1880 36200000
1890 36240000
18a0 36280000
18b0 362c0000
