name,target,computed,error_pct,n,k,m,p,q,category
1/α (fine structure),137.0360000000,137.0027330000,0.024300,4,2,-1,1,2,particle_physics
m_p/m_e,1836.1500000000,1838.1612540000,0.109400,9,4,0,4,-1,particle_physics
sin²(θ_W),0.2229000000,0.2230450000,0.065000,8,-1,0,-1,-2,particle_physics
M_Higgs (GeV),125.2500000000,125.2262470000,0.019000,5,3,0,4,-2,particle_physics
M_W (GeV),80.3770000000,80.3588260000,0.022600,2,4,-1,3,-1,particle_physics
M_Z (GeV),91.1876000000,91.0553030000,0.145100,8,4,0,-2,-1,particle_physics
m_e (MeV),0.5110000000,0.5109590000,0.008000,2,0,-2,4,-1,particle_physics
Koide Q (2/3),0.6666700000,0.6666670000,0.000500,2,-1,0,0,0,particle_physics
α_s (strong),0.1179000000,0.1178940000,0.004800,4,-2,-2,2,0,particle_physics
m_μ (MeV),105.6580000000,105.5590000000,0.094100,8,1,0,1,1,particle_physics
sin(θ_C) Cabibbo,0.2253000000,0.2254280000,0.057000,1,1,-1,-3,0,particle_physics
Δm(n-p) MeV,1.2934000000,1.2923770000,0.079100,4,2,-2,2,-2,particle_physics
G_F (Fermi constant),0.0000116600,0.0000116560,0.037700,5,-3,-1,-4,-2,particle_physics
θ_W (weak mixing),0.4829000000,0.4831770000,0.057100,4,-1,-1,0,-1,particle_physics
|V_us| CKM,0.2243000000,0.2254280000,0.504300,1,1,-1,-3,0,particle_physics
|V_ud| CKM,0.9743500000,0.9743770000,0.002800,1,0,-3,1,0,particle_physics
|V_ub| CKM,0.0038200000,0.0038180000,0.052400,9,-4,-1,-2,-3,particle_physics
|V_cd| CKM,0.2245200000,0.2254280000,0.404000,1,1,-1,-3,0,particle_physics
θ₁₂ solar (°),33.4400000000,33.4760000000,0.107300,5,-1,0,0,3,neutrino
θ₂₃ atmos (°),49.2000000000,49.2410000000,0.083100,7,4,0,-3,-1,neutrino
θ₁₃ reactor (°),8.5700000000,8.5680000000,0.022900,9,4,0,-3,-3,neutrino
Δm²₂₁ (solar),0.0000742000,0.0000742200,0.026900,8,-3,0,-3,-2,neutrino
