GFTernary|527| 84.08 86.72 88.25 85.17 81.55 86.26 86.21 79.80 89.75 81.32 83.73 81.69 80.85 86.67 84.94 88.73 84.34 84.20 84.30 76.09 78.38 84.84 85.35 79.25 81.75 86.35 82.56 83.75 81.43 88.00 86.91 81.93 86.69 85.51 84.76 85.95 82.94 76.31 86.03 81.64 80.19 85.75 82.18 84.90 88.15 84.00 87.15 79.65 78.35 85.93 73.07 86.18 77.41 80.83
binary32|536| 75.74 78.55 73.65 79.26 76.55 77.11 72.45 77.58 81.12 70.90 76.60 76.71 76.25 77.50 73.59 74.86 75.35 75.82 74.25 70.80 77.65 75.41 77.67 77.89 78.58 76.03 78.80 81.27 77.53 79.35 78.49 79.37 77.95 70.46 70.46 73.05 76.72 76.90 74.72 76.72 75.18 75.99 78.41 80.82 78.79 76.38 79.25 73.63 77.57 79.44 75.42 76.40 77.67 80.05
binary16|586| 60.58 64.38 64.78 63.83 60.58 63.03 61.90 65.04 62.76 65.66 64.61 60.55 67.40 65.58 66.12 60.96 65.10 65.93 62.56 60.92 63.57 61.79 65.95 62.66 64.29 62.50 63.08 64.74 63.24 61.19 65.13 59.79 61.01 60.46 59.54 68.04 59.87 60.16 60.57 62.48 60.89 65.68 65.23 64.75 60.76 64.56 64.32 66.09 68.13 68.66 57.81 58.36 59.78 63.40
TNF16a|566| 69.33 72.34 69.77 70.40 67.49 64.98 70.45 67.33 70.55 68.23 68.38 69.47 66.68 66.58 65.49 70.08 67.17 69.45 67.13 68.93 70.65 67.17 69.70 68.25 64.29 65.94 72.31 73.20 73.13 67.93 72.73 71.59 62.47 66.66 64.24 71.20 66.46 66.51 70.00 71.46 64.24 67.34 66.63 66.80 69.01 70.73 71.88 66.98 67.96 67.82 70.72 69.74 70.82 72.47
TNF16c|591| 66.08 66.60 69.63 71.54 68.35 69.19 66.92 69.47 66.64 68.25 65.14 71.97 71.10 69.39 69.74 68.75 67.03 61.87 66.31 68.46 69.32 66.49 65.14 71.98 70.79 66.76 68.43 68.63 68.08 67.24 68.89 69.12 68.92 65.94 71.45 69.89 65.07 66.83 64.04 66.93 67.93 70.11 66.33 67.03 68.52 68.68 68.32 70.80 68.71 63.90 65.23 67.34 70.45 72.09
TNF17e|596| 71.94 73.07 67.66 73.78 68.51 64.82 63.77 70.63 67.19 70.46 74.58 70.30 70.20 68.74 67.22 66.67 70.95 71.72 66.41 70.20 68.98 69.84 68.46 67.42 67.26 71.73 69.21 71.11 65.42 71.82 67.02 67.51 70.75 66.64 69.08 69.86 69.53 68.52 70.52 66.84 70.43 71.15 69.39 68.95 55.78 69.24 66.73 69.55 73.04 67.12 68.09 70.87 62.95 68.16
GF10|597| 68.96 67.93 68.76 74.28 66.62 64.36 70.02 70.87 71.14 69.78 69.57 65.72 69.61 71.76 64.09 74.04 70.34 71.02 68.84 70.55 67.47 68.46 73.21 68.20 68.38 71.42 69.34 76.98 70.01 69.46 68.81 73.69 71.25 74.19 70.31 70.56 68.22 71.08 70.54 74.64 68.64 67.99 72.08 67.05 69.38 71.67 69.36 71.57 68.18 74.03 67.80 65.75 72.19 67.07
fp8 e4m3|549| 67.59 67.03 63.32 67.08 63.78 70.11 65.41 65.85 67.49 68.67 72.09 67.42 70.70 66.81 66.12 62.21 69.14 68.67 64.93 67.98 66.04 67.42 63.36 65.44 68.79 69.01 66.98 66.28 66.85 62.77 64.27 70.92 70.15 69.97 63.84 66.94 69.57 69.80 68.11 63.62 69.89 70.02 66.12 70.89 65.30 69.30 72.79 66.45 67.99 68.73 68.22 64.34 62.46 67.65
fp8 e5m2|544| 61.68 66.49 66.17 64.93 62.28 62.70 64.47 63.28 68.19 63.29 63.69 63.76 60.41 63.76 67.87 63.24 66.80 65.05 61.02 64.10 68.29 68.52 65.39 65.95 67.77 63.37 64.69 64.18 59.21 63.03 63.17 63.13 63.34 65.16 64.96 64.69 66.80 67.85 62.91 62.87 64.15 67.67 64.51 65.25 64.88 66.72 63.54 60.83 62.87 64.39 66.79 65.12 66.14 69.92
DONE
