minifloat|622| 67.19 64.56 66.45 62.50 68.57 69.41 69.43 68.99 68.72 66.60 66.69 64.78 64.23 67.00 66.50 63.26 67.38 69.11 67.36 64.69 68.30 71.98 68.53 60.01 68.33 70.43 66.25 68.41 69.11 67.49 66.71 71.10 64.45 64.92 62.72 66.83 60.88 61.55 64.87 67.85 69.93 65.40 68.47 68.02 66.44 68.10 71.40 63.13 67.31 63.92 65.96 66.57 64.42 67.11
GF14|651| 68.43 67.31 69.54 70.16 69.34 69.30 67.17 70.75 71.10 62.17 68.26 66.69 68.72 68.60 70.29 66.48 65.40 70.43 69.87 71.88 70.19 71.59 71.04 74.28 68.62 66.82 69.32 73.49 66.41 62.48 67.79 71.41 66.31 68.74 67.08 71.61 68.94 67.85 68.48 68.62 70.73 70.62 61.30 72.47 69.78 71.66 66.91 66.87 65.99 67.29 75.48 68.69 66.79 61.73
TNF17e-bare|605| 64.87 64.17 65.27 62.96 66.82 64.33 65.57 69.08 65.12 65.39 65.85 63.25 65.24 69.62 65.86 62.06 66.86 65.36 67.97 62.42 66.45 65.57 59.09 63.46 67.73 68.08 66.89 63.54 64.98 65.84 66.23 65.44 62.06 60.37 68.41 66.09 64.18 59.81 62.79 64.08 65.92 67.48 62.79 65.02 61.40 66.00 61.60 64.62 63.83 63.30 62.52 65.41 67.85 66.60
TNF8|609| 64.14 62.61 66.14 65.39 63.81 66.43 64.09 66.96 63.50 62.24 61.13 60.52 64.85 61.93 64.23 63.74 64.76 64.21 65.93 64.74 66.64 65.43 63.54 55.24 65.09 61.38 63.29 62.77 59.76 66.25 59.40 60.73 63.47 65.45 66.08 65.96 61.21 66.79 66.75 63.12 64.91 63.46 66.16 65.01 59.41 65.02 64.18 63.74 61.69 61.26 65.20 60.43 63.73 64.12
TNF16b|604| 63.31 64.46 65.59 60.29 60.86 65.21 59.87 59.53 62.75 60.20 63.98 67.88 57.22 62.75 59.96 63.93 62.96 57.62 61.29 60.98 62.91 61.16 59.04 62.43 59.59 66.46 58.95 59.84 60.39 61.93 65.33 62.00 61.98 57.42 64.12 61.74 62.04 62.57 62.09 62.36 59.50 60.77 62.94 59.33 63.55 60.36 63.97 61.56 61.98 61.45 62.54 58.99 61.10 61.12
BNF16|635| 65.61 62.17 66.45 65.89 67.68 66.47 65.53 60.74 65.95 65.25 68.09 65.94 65.49 61.75 66.99 70.68 63.13 67.28 61.31 69.46 66.79 72.23 69.20 70.11 64.81 69.74 65.80 61.85 67.38 66.76 63.71 65.34 59.96 66.64 63.53 68.67 67.15 65.69 64.75 65.33 65.94 70.44 64.28 62.45 68.18 67.24 65.62 68.73 68.09 67.14 69.05 66.51 67.80 67.02
TNF16|629| 65.83 67.91 63.50 65.50 62.25 67.41 64.71 69.58 67.43 63.80 62.54 66.48 66.94 65.60 64.52 63.82 65.52 63.30 64.10 65.21 63.95 66.44 64.99 61.10 64.23 68.03 63.41 65.49 62.53 58.78 66.66 64.28 64.04 68.34 66.63 63.10 68.81 69.14 65.92 65.62 64.70 65.11 66.66 62.81 64.48 67.26 61.74 67.73 64.72 65.50 67.35 60.85 63.27 69.48
VAX F|624| 55.90 57.67 58.24 59.58 61.94 58.19 59.77 60.53 57.62 57.09 57.72 57.20 60.97 58.58 58.29 55.56 57.84 64.71 58.93 61.48 61.15 58.69 57.23 59.34 59.28 65.40 61.89 58.77 59.07 62.98 58.37 56.59 60.66 59.71 63.96 57.74 63.70 58.92 59.01 62.44 55.94 60.65 64.88 58.49 60.97 56.46 64.85 57.24 58.79 58.58 61.02 57.88 63.31 59.51
GF+8|692| 63.69 62.30 59.21 58.46 61.12 60.42 62.99 59.39 62.43 60.09 61.65 63.52 60.67 57.80 64.30 58.04 62.68 60.63 61.33 63.04 60.48 63.32 61.00 60.35 64.37 63.97 62.17 61.79 63.51 67.53 59.82 62.29 61.60 61.01 61.63 59.02 60.30 58.20 58.39 64.45 62.64 62.79 63.28 64.06 63.37 58.20 59.39 62.01 65.49 64.46 59.26 62.67 65.30 64.93
posit8|614| 46.05 45.87 46.47 47.25 44.54 45.23 43.62 45.48 45.86 44.28 45.45 46.72 43.63 45.94 43.54 43.75 45.04 48.89 45.15 45.52 44.84 43.98 46.55 47.17 46.14 47.56 45.70 44.23 40.96 44.85 45.71 43.32 42.28 46.07 45.37 45.69 46.28 45.44 45.13 42.63 47.89 45.04 47.69 46.25 44.21 46.51 45.17 43.98 43.99 44.63 45.55 43.35 46.35 47.54
