step,scenario_id,ppl,diversity,alive,culled,byzantine,converged,energy_cost,fpga_lut,fpga_bram,fpga_cost_norm,seed_rate,kill_rate,ntp_weight,jepa_weight,nca_weight,quantum_superposition,quantum_coherence,quantum_interference,quantum_collapse_prob
0,S1,504.600,0.000,25,0,0,1,2500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
1,S1,49.163,0.000,25,0,0,1,5000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
2,S1,39.563,0.000,25,0,0,1,7500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
3,S1,34.937,0.000,25,0,0,1,10000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
4,S1,32.031,0.000,25,0,0,1,12500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
5,S1,29.971,0.000,25,0,0,1,15000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
6,S1,28.402,0.000,25,0,0,1,17500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
7,S1,27.152,0.000,25,0,0,1,20000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
8,S1,26.122,0.000,25,0,0,1,22500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
9,S1,25.253,0.000,25,0,0,1,25000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
10,S1,24.505,0.000,25,0,0,1,27500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
11,S1,23.852,0.000,25,0,0,1,30000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
12,S1,23.275,0.000,25,0,0,1,32500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
13,S1,22.759,0.000,25,0,0,1,35000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
14,S1,22.294,0.000,25,0,0,1,37500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
15,S1,21.872,0.000,25,0,0,1,40000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
16,S1,21.486,0.000,25,0,0,1,42500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
17,S1,21.132,0.000,25,0,0,1,45000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
18,S1,20.804,0.000,25,0,0,1,47500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
19,S1,20.500,0.000,25,0,0,1,50000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
20,S1,20.217,0.000,25,0,0,1,52500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
21,S1,19.953,0.000,25,0,0,1,55000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
22,S1,19.705,0.000,25,0,0,1,57500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
23,S1,19.472,0.000,25,0,0,1,60000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
24,S1,19.252,0.000,25,0,0,1,62500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
25,S1,19.044,0.000,25,0,0,1,65000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
26,S1,18.847,0.000,25,0,0,1,67500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
27,S1,18.660,0.000,25,0,0,1,70000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
28,S1,18.482,0.000,25,0,0,1,72500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
29,S1,18.313,0.000,25,0,0,1,75000.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
30,S1,18.151,0.000,25,0,0,1,77500.00,8000,30,0.220,0.000,400.0,1.00,0.00,0.00,0.000,0.000,0.000,0.000
